season,match_id,p_model,market_prob,p_blend,bet,edge,odds,actual,profit
2024-25,ucl-2024-25-008,0.545016077170418,0.586734693877551,0.5658753855239844,Under,0.020859308353566586,2.3,Over,-1
2024-25,ucl-2024-25-075,0.545016077170418,0.5076923076923077,0.5263541924313628,Over,0.018661884739055168,1.92,Over,0.9199999999999999
2024-25,ucl-2024-25-127,0.545016077170418,0.4516971279373368,0.49835660255387737,Over,0.046659474616540575,2.1,Under,-1
2024-25,ucl-2024-25-027,0.545016077170418,0.47948717948717956,0.5122516283287988,Over,0.03276444884161922,2.03,Under,-1
2024-25,ucl-2024-25-003,0.545016077170418,0.5684754521963824,0.5567457646834002,Under,0.011729687512982256,2.2,Under,1.2000000000000002
2024-25,ucl-2024-25-057,0.6564102564102564,0.6025316455696202,0.6294709509899383,Over,0.026939305420318083,1.57,Over,0.5700000000000001
2024-25,ucl-2024-25-031,0.551111111111111,0.6460807600950119,0.5985959356030615,Under,0.047484824491950406,2.72,Under,1.7200000000000002
2024-25,ucl-2024-25-082,0.545016077170418,0.47948717948717956,0.5122516283287988,Over,0.03276444884161922,2.03,Under,-1
2024-25,ucl-2024-25-132,0.5833333333333334,0.586734693877551,0.5850340136054422,Under,0.0017006802721088454,2.3,Under,1.2999999999999998
2024-25,ucl-2024-25-041,0.545016077170418,0.6203473945409429,0.5826817358556804,Under,0.037665658685262504,2.5,Under,1.5
2024-25,ucl-2024-25-067,0.545016077170418,0.5684754521963824,0.5567457646834002,Under,0.011729687512982256,2.2,Under,1.2000000000000002
2024-25,ucl-2024-25-133,0.6198347107438017,0.5153846153846154,0.5676096630642086,Over,0.05222504767959313,1.89,Over,0.8899999999999999
2024-25,ucl-2024-25-019,0.545016077170418,0.6563245823389022,0.6006703297546601,Under,0.05565425258424206,2.75,Under,1.75
2024-25,ucl-2024-25-102,0.545016077170418,0.7017543859649122,0.6233852315676651,Under,0.07836915439724718,3.2,Over,-1
2024-25,ucl-2024-25-001,0.545016077170418,0.5684754521963824,0.5567457646834002,Under,0.011729687512982256,2.2,Over,-1
2024-25,ucl-2024-25-076,0.545016077170418,0.5684754521963824,0.5567457646834002,Under,0.011729687512982256,2.2,Over,-1
2024-25,ucl-2024-25-128,0.545016077170418,0.6368038740920097,0.5909099756312138,Under,0.045893898460795834,2.63,Under,1.63
2024-25,ucl-2024-25-076,0.545016077170418,0.6203473945409429,0.5826817358556804,Under,0.037665658685262504,2.5,Over,-1
2025-26,ucl-2025-26-001,0.5368264078110201,0.4333333333333333,0.4850798705721767,Over,0.051746537238843426,2.21,Under,-1
2025-26,ucl-2025-26-002,0.9137856083937996,0.6188118811881189,0.7662987447909593,Over,0.14748686360284036,1.54,Over,0.54
2025-26,ucl-2025-26-003,0.4695664463449572,0.5167095115681234,0.4931379789565403,Under,0.023571532611582957,2.01,Over,-1
2025-26,ucl-2025-26-004,0.7420114499281194,0.7188160676532769,0.7304137587906981,Over,0.011597691137421262,1.33,Over,0.33000000000000007
2025-26,ucl-2025-26-005,0.7997239765263108,0.5384615384615385,0.6690927574939247,Over,0.13063121903238617,1.8,Under,-1
2025-26,ucl-2025-26-006,0.8601006453218591,0.6697459584295612,0.7649233018757102,Over,0.09517734344614903,1.43,Over,0.42999999999999994
2025-26,ucl-2025-26-007,0.6102692196523298,0.5909090909090909,0.6005891552807103,Over,0.00968006437161939,1.62,Over,0.6200000000000001
2025-26,ucl-2025-26-008,0.6102692196523298,0.5609137055837563,0.5855914626180431,Over,0.024677757034286762,1.73,Under,-1
2025-26,ucl-2025-26-009,0.5870472311864214,0.5852417302798981,0.5861444807331597,Over,0.0009027504532616026,1.63,Under,-1
2025-26,ucl-2025-26-010,0.8989741826310447,0.5979899497487436,0.7484820661898941,Over,0.15049211644115046,1.6,Over,0.6000000000000001
2025-26,ucl-2025-26-011,0.8675525191893035,0.6368038740920097,0.7521781966406567,Over,0.11537432254864699,1.5,Over,0.5
2025-26,ucl-2025-26-012,0.6262392765913007,0.6216216216216216,0.6239304491064612,Over,0.002308827484839626,1.54,Over,0.54
2025-26,ucl-2025-26-013,0.5314424767871174,0.46410256410256406,0.49777252044484077,Over,0.03366995634227671,2.09,Over,1.0899999999999999
2025-26,ucl-2025-26-014,0.700171166249783,0.605,0.6525855831248915,Over,0.04758558312489147,1.58,Over,0.5800000000000001
2025-26,ucl-2025-26-015,0.7126202559008036,0.6169154228855721,0.6647678393931878,Over,0.047852416507615736,1.54,Over,0.54
2025-26,ucl-2025-26-016,0.8913952513746835,0.5826972010178116,0.7370462261962476,Over,0.15434902517843596,1.64,Under,-1
2025-26,ucl-2025-26-017,0.47632196165377383,0.6548463356973996,0.5655841486755867,Under,0.08926218702181277,2.77,Over,-1
2025-26,ucl-2025-26-018,0.7948493028660736,0.7485265225933202,0.771687912729697,Over,0.023161390136376747,1.28,Over,0.28
2025-26,ucl-2025-26-019,0.7430074330131957,0.6712962962962963,0.707151864654746,Over,0.03585556835844972,1.42,Over,0.41999999999999993
2025-26,ucl-2025-26-020,0.8502643091775126,0.7738970588235294,0.812080684000521,Over,0.03818362517699159,1.23,Over,0.22999999999999998
2025-26,ucl-2025-26-021,0.9255464253885467,0.7026431718061673,0.814094798597357,Over,0.1114516267911897,1.35,Under,-1
2025-26,ucl-2025-26-022,0.9178215200823052,0.7032967032967032,0.8105591116895042,Over,0.10726240839280099,1.35,Over,0.3500000000000001
