season,date,match,side,model_p,price,close,ev,won,pnl,clv
2025/26,2026-01-31,QPR v Coventry,OVER,0.5609429364671482,1.91,1.75,0.07140100865225296,True,0.9099999999999999,0.09142857142857141
2025/26,2026-02-07,Hull v Bristol City,UNDER,0.5408619955793912,1.91,1.8,0.03304641155663712,False,-1.0,0.061111111111111116
2025/26,2026-02-07,Birmingham v Leicester,OVER,0.5734902177396786,1.91,1.84,0.09536631588278599,True,0.9099999999999999,0.0380434782608694
2025/26,2026-02-07,Southampton v Watford,OVER,0.5752544316107968,1.83,1.8,0.05271560984775814,False,-1.0,0.016666666666666607
2025/26,2026-02-10,Leicester v Southampton,OVER,0.6165864687620921,1.83,1.78,0.1283532378346286,True,0.8300000000000001,0.028089887640449396
2025/26,2026-02-14,Sheffield Weds v Millwall,UNDER,0.5430154489554221,1.98,1.99,0.07517058893173578,False,-1.0,-0.005025125628140725
2025/26,2026-02-14,Preston v Watford,UNDER,0.5950684769679928,1.76,1.7,0.04732051946366744,False,-1.0,0.03529411764705892
2025/26,2026-02-21,West Brom v Coventry,OVER,0.5211847952134782,1.98,1.83,0.0319458945226867,False,-1.0,0.08196721311475397
2025/26,2026-02-21,Wrexham v Ipswich,OVER,0.5104199235097593,2.1,1.98,0.07188183937049453,True,1.1,0.06060606060606055
2025/26,2026-02-21,Millwall v Portsmouth,UNDER,0.5843542862349171,1.77,1.67,0.034307086635803286,False,-1.0,0.05988023952095811
2025/26,2026-02-24,Wrexham v Portsmouth,OVER,0.5183347467650469,2.08,2.15,0.07813627327129757,True,1.08,-0.03255813953488362
2025/26,2026-02-24,Middlesbrough v Leicester,OVER,0.6054689038123007,1.73,1.62,0.047461203595280166,False,-1.0,0.06790123456790109
2025/26,2026-02-24,Southampton v QPR,OVER,0.6185579103785678,1.73,1.71,0.07010518495492235,True,0.73,0.011695906432748648
2025/26,2026-02-25,Stoke v Oxford,UNDER,0.6314793126626954,1.67,1.67,0.0545704521467012,False,-1.0,0.0
2025/26,2026-02-25,Millwall v Birmingham,UNDER,0.5917276836971272,1.81,1.75,0.0710271074918003,False,-1.0,0.03428571428571425
2025/26,2026-02-25,Norwich v Sheffield Weds,OVER,0.7124656328805666,1.5,1.48,0.06869844932085001,False,-1.0,0.013513513513513598
2025/26,2026-02-28,Portsmouth v Hull,OVER,0.5258795446781221,2.0,2.11,0.05175908935624429,False,-1.0,-0.05213270142180093
2025/26,2026-02-28,Preston v Millwall,UNDER,0.6007066761143391,1.77,1.74,0.0632508167223802,True,0.77,0.01724137931034475
2025/26,2026-02-28,Oxford v West Brom,UNDER,0.619210915789993,1.67,1.6,0.034082229369288175,False,-1.0,0.043749999999999956
2025/26,2026-02-28,Ipswich v Swansea,OVER,0.5875816409352308,1.85,1.83,0.08702603573017709,True,0.8500000000000001,0.010928961748633892
2025/26,2026-02-28,Leicester v Norwich,OVER,0.5905926921237388,1.86,1.83,0.09850240735015414,False,-1.0,0.016393442622950838
2025/26,2026-02-28,Derby v Blackburn,UNDER,0.6048109706045645,1.71,1.68,0.03422675973380529,False,-1.0,0.017857142857142794
2025/26,2026-03-03,Ipswich v Hull,OVER,0.6365075916048033,1.75,1.7,0.11388828530840578,False,-1.0,0.02941176470588247
2025/26,2026-03-06,Preston v Oxford,UNDER,0.6191223485662549,1.68,1.74,0.04012554559130832,False,-1.0,-0.034482758620689724
2025/26,2026-03-07,Ipswich v Leicester,OVER,0.645983342579869,1.73,1.75,0.11755118266317344,False,-1.0,-0.011428571428571455
2025/26,2026-03-07,Hull v Millwall,UNDER,0.5841920868146973,1.85,1.78,0.08075536060719002,False,-1.0,0.0393258426966292
2025/26,2026-03-07,Swansea v Stoke,UNDER,0.5853644823745784,1.78,1.72,0.04194877862674962,True,0.78,0.03488372093023262
2025/26,2026-03-07,Charlton v Birmingham,UNDER,0.5984983238006376,1.79,1.72,0.07131199960314127,True,0.79,0.04069767441860472
2025/26,2026-03-08,QPR v Middlesbrough,OVER,0.5435401055571482,1.95,1.83,0.05990320583643882,True,0.95,0.06557377049180313
2025/26,2026-03-10,Wrexham v Hull,OVER,0.568657620239911,1.93,1.79,0.09750920706302812,True,0.9299999999999999,0.07821229050279332
2025/26,2026-03-10,Millwall v Derby,UNDER,0.5926780019715778,1.8,1.8,0.06682040354884022,True,0.8,0.0
2025/26,2026-03-10,Sheffield Weds v Watford,UNDER,0.5113236015750651,2.07,1.88,0.05843985526038464,True,1.0699999999999998,0.10106382978723394
2025/26,2026-03-11,Middlesbrough v Charlton,UNDER,0.49220646859226536,2.1,2.36,0.03363358404375738,True,1.1,-0.11016949152542366
2025/26,2026-03-11,West Brom v Southampton,OVER,0.5494172243997005,1.98,1.87,0.08784610431140694,False,-1.0,0.05882352941176472
2025/26,2026-03-13,Wrexham v Swansea,OVER,0.5184174808655636,2.02,1.99,0.04720331134843847,False,-1.0,0.015075376884422065
2025/26,2026-03-14,Millwall v Blackburn,UNDER,0.5990269722677053,1.75,1.67,0.048297201468484374,False,-1.0,0.04790419161676662
2025/26,2026-03-14,Coventry v Southampton,OVER,0.6666823373611456,1.67,1.73,0.11335950339311296,True,0.6699999999999999,-0.034682080924855474
2025/26,2026-03-14,Stoke v Watford,UNDER,0.5885624650334363,1.79,1.72,0.05352681240985113,False,-1.0,0.04069767441860472
2025/26,2026-03-14,Oxford v Charlton,UNDER,0.6335832714007297,1.67,1.59,0.05808406323921855,True,0.6699999999999999,0.05031446540880502
2025/26,2026-03-18,Southampton v Norwich,OVER,0.640716567116817,1.73,1.68,0.10843966111209347,False,-1.0,0.029761904761904878
2025/26,2026-03-20,Preston v Stoke,UNDER,0.5825330292825837,1.8,1.8,0.048559452708650586,False,-1.0,0.0
2025/26,2026-03-21,Derby v Birmingham,UNDER,0.5706840834922803,1.91,1.84,0.09000659947025524,True,0.9099999999999999,0.0380434782608694
2025/26,2026-04-03,Middlesbrough v Millwall,UNDER,0.4911165724916754,2.16,2.03,0.06081179658201896,False,-1.0,0.06403940886699533
2025/26,2026-04-03,Charlton v Bristol City,UNDER,0.6314491908637972,1.71,1.66,0.0797781163770932,False,-1.0,0.030120481927710774
2025/26,2026-04-03,Norwich v Portsmouth,OVER,0.5186757306897288,2.1,1.88,0.08921903444843049,False,-1.0,0.1170212765957448
2025/26,2026-04-06,Blackburn v West Brom,UNDER,0.6384352092930288,1.67,1.55,0.06618679951935791,True,0.6699999999999999,0.07741935483870965
2025/26,2026-04-06,Ipswich v Birmingham,OVER,0.5585530234402927,1.88,1.79,0.05007968406775021,True,0.8799999999999999,0.05027932960893855
2025/26,2026-04-06,Hull v Coventry,OVER,0.5773556015691814,1.8,1.63,0.03924008282452651,False,-1.0,0.10429447852760743
2025/26,2026-04-06,Derby v Stoke,UNDER,0.5749260033552377,1.85,1.92,0.06361310620718985,True,0.8500000000000001,-0.03645833333333326
2025/26,2026-04-06,Preston v QPR,UNDER,0.5529857439000612,1.88,1.82,0.03961319853211487,True,0.8799999999999999,0.03296703296703285
2025/26,2026-04-06,Sheffield Weds v Leicester,OVER,0.5716947076593545,1.83,1.81,0.04620131501661873,False,-1.0,0.011049723756906049
2025/26,2026-04-06,Watford v Charlton,UNDER,0.579251718750665,1.86,1.74,0.07740819687623679,True,0.8600000000000001,0.06896551724137945
2025/26,2026-04-07,Wrexham v Southampton,OVER,0.6367102117515154,1.83,1.89,0.16517968750527334,True,0.8300000000000001,-0.03174603174603163
2025/26,2026-04-10,West Brom v Millwall,UNDER,0.5904316184639652,1.75,1.73,0.03325533231193911,True,0.75,0.011560693641618602
2025/26,2026-04-11,Charlton v Preston,UNDER,0.6365803446486715,1.74,1.69,0.10764979968868849,False,-1.0,0.029585798816567976
2025/26,2026-04-11,Southampton v Derby,OVER,0.5849274948283155,1.8,1.69,0.05286949069096791,True,0.8,0.06508875739644981
2025/26,2026-04-11,Norwich v Ipswich,OVER,0.5672578763105998,1.91,1.97,0.08346254375324547,False,-1.0,-0.030456852791878153
2025/26,2026-04-14,Portsmouth v Ipswich,OVER,0.4794348350482687,2.22,2.15,0.06434533380715668,False,-1.0,0.032558139534883956
2025/26,2026-04-14,Southampton v Blackburn,OVER,0.5543523955880246,1.91,1.8,0.058813075573127094,True,0.9099999999999999,0.061111111111111116
2025/26,2026-04-18,Bristol City v Norwich,OVER,0.5399161902172668,1.91,1.84,0.0312399233149796,True,0.9099999999999999,0.0380434782608694
2025/26,2026-04-18,Derby v Oxford,UNDER,0.5836306101089113,1.8,1.77,0.05053509819604041,True,0.8,0.016949152542372836
2025/26,2026-04-18,Millwall v QPR,UNDER,0.5153884865189771,2.0,2.04,0.030776973037954125,True,1.0,-0.019607843137254943
